,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,8.852135944366456,2.7177156228018164,0.04737133979797363,0.0016577442061841987,100,5,"{'NN__hidden_layer_sizes': 100, 'gmm__n_components': 5}",0.29790419161676646,0.2753623188405797,0.2695,0.26413206603301653,0.2865731462925852,0.2787,0.012159813407945173,26,0.3009004502251126,0.27440930116264534,0.263875,0.2753405824271966,0.27298850574712646,0.2775027679124162,0.012391858144620148
1,20.079193782806396,2.9851456615809493,0.1139111042022705,0.03713114112830767,100,10,"{'NN__hidden_layer_sizes': 100, 'gmm__n_components': 10}",0.45109780439121755,0.4267866066966517,0.3955,0.4107053526763382,0.45991983967935873,0.4288,0.024103494894985963,22,0.4588544272136068,0.4205525690711339,0.403,0.40857392825896766,0.4622688655672164,0.430649958022185,0.02509611893929005
2,39.506561851501466,4.665742308912952,0.16071319580078125,0.01478785719125118,100,15,"{'NN__hidden_layer_sizes': 100, 'gmm__n_components': 15}",0.4880239520958084,0.42278860569715143,0.4425,0.45822911455727866,0.48547094188376755,0.4594,0.02500939261423332,18,0.49149574787393696,0.4215526940867608,0.4685,0.4676915385576803,0.4877561219390305,0.46739922049148175,0.024892758855521013
3,34.38617434501648,4.115869849714141,0.17899322509765625,0.019429677207445397,100,20,"{'NN__hidden_layer_sizes': 100, 'gmm__n_components': 20}",0.5029940119760479,0.4572713643178411,0.4625,0.46973486743371684,0.48997995991983967,0.4765,0.01729943277840116,11,0.5053776888444222,0.46080760095011875,0.494375,0.47781527309086363,0.49962518740629686,0.4876001500583403,0.016248849222191233
4,49.1578266620636,9.44350166680895,0.2354668140411377,0.07442418430656851,100,25,"{'NN__hidden_layer_sizes': 100, 'gmm__n_components': 25}",0.5319361277445109,0.49725137431284355,0.4845,0.5097548774387194,0.5040080160320641,0.5055,0.015682199639207507,1,0.5350175087543771,0.498812351543943,0.5265,0.5284339457567804,0.5069965017491255,0.5191520615608451,0.013808109400573839
5,65.69476060867309,12.524741170500107,0.29925336837768557,0.06632070914322799,100,30,"{'NN__hidden_layer_sizes': 100, 'gmm__n_components': 30}",0.5454091816367266,0.48575712143928035,0.517,0.4842421210605303,0.4849699398797595,0.5035,0.024374028304987146,4,0.5512756378189094,0.5080635079384923,0.557,0.514185726784152,0.5029985007496252,0.5267046746582358,0.02274967605105231
6,12.289909172058106,5.211420946551901,0.06864933967590332,0.02202285946898079,"(100, 100)",5,"{'NN__hidden_layer_sizes': (100, 100), 'gmm__n_components': 5}",0.29790419161676646,0.2753623188405797,0.2695,0.2651325662831416,0.2575150300601202,0.2731,0.013714319732804238,30,0.3009004502251126,0.27440930116264534,0.26375,0.27371578552680914,0.2549975012493753,0.27355460763278844,0.015421077229466918
7,22.393120431900023,4.93187211287675,0.10552821159362794,0.028912319520463282,"(100, 100)",10,"{'NN__hidden_layer_sizes': (100, 100), 'gmm__n_components': 10}",0.45109780439121755,0.42478760619690153,0.3825,0.4107053526763382,0.4634268537074148,0.4265,0.02882848359463145,24,0.4588544272136068,0.4224278034754344,0.3975,0.40857392825896766,0.4631434282858571,0.4300999174467732,0.026471417043077778
8,33.31197037696838,4.93939082587814,0.14571380615234375,0.028183098289221872,"(100, 100)",15,"{'NN__hidden_layer_sizes': (100, 100), 'gmm__n_components': 15}",0.48902195608782434,0.4257871064467766,0.449,0.45822911455727866,0.47945891783567135,0.4603,0.022434983757351482,16,0.49149574787393696,0.42005250656332044,0.467,0.4676915385576803,0.4885057471264368,0.4669491080242749,0.025561968777727567
9,39.11567468643189,7.8974539163230535,0.1741640567779541,0.01816753801706353,"(100, 100)",20,"{'NN__hidden_layer_sizes': (100, 100), 'gmm__n_components': 20}",0.49650698602794413,0.4572713643178411,0.462,0.46973486743371684,0.48897795591182364,0.4749,0.015294361506218516,12,0.5067533766883442,0.46080760095011875,0.497375,0.4781902262217223,0.4993753123438281,0.4885003032408027,0.016753412811363295
10,51.39991970062256,7.897518715214358,0.2128286361694336,0.016368240289425073,"(100, 100)",25,"{'NN__hidden_layer_sizes': (100, 100), 'gmm__n_components': 25}",0.5344311377245509,0.49725137431284355,0.4845,0.49724862431215605,0.49198396793587174,0.5011,0.017328170773577237,8,0.5313906953476738,0.49993749218652334,0.5265,0.5239345081864767,0.5038730634682659,0.5171271518377879,0.012718445769996709
11,64.26593823432923,9.437811677063973,0.24765629768371583,0.038143713854055586,"(100, 100)",30,"{'NN__hidden_layer_sizes': (100, 100), 'gmm__n_components': 30}",0.5454091816367266,0.48575712143928035,0.5185,0.4842421210605303,0.4909819639278557,0.505,0.02373047703653368,2,0.5511505752876438,0.5080635079384923,0.561375,0.5134358205224347,0.5062468765617192,0.528054356062058,0.023377777512568733
12,11.026001167297363,1.4910311179754023,0.06708793640136719,0.019107430859646213,"(100, 100, 100)",5,"{'NN__hidden_layer_sizes': (100, 100, 100), 'gmm__n_components': 5}",0.3003992015968064,0.2753623188405797,0.269,0.26413206603301653,0.2845691382765531,0.2787,0.012833777499052039,26,0.30115057528764383,0.27440930116264534,0.263875,0.2753405824271966,0.2709895052473763,0.2771529928249724,0.01265693732322163
13,18.36212077140808,2.672011230411842,0.08619222640991211,0.0037859344709919598,"(100, 100, 100)",10,"{'NN__hidden_layer_sizes': (100, 100, 100), 'gmm__n_components': 10}",0.45858283433133734,0.42628685657171417,0.3885,0.40670335167583793,0.4634268537074148,0.4287,0.02899582383376287,23,0.46048024012006,0.4213026628328541,0.399625,0.4080739907511561,0.46339330334832585,0.4305750394104792,0.02653879641223848
14,30.878152704238893,4.947413607974922,0.12726988792419433,0.004532270567984786,"(100, 100, 100)",15,"{'NN__hidden_layer_sizes': (100, 100, 100), 'gmm__n_components': 15}",0.48303393213572854,0.4192903548225887,0.44,0.4452226113056528,0.4894789579158317,0.4554,0.026718757361328966,19,0.4917458729364682,0.4196774596824603,0.467125,0.45881764779402573,0.48713143428285854,0.46489948293916256,0.025698098563070072
15,32.73466210365295,2.4795149317619964,0.16244750022888182,0.005230015534129555,"(100, 100, 100)",20,"{'NN__hidden_layer_sizes': (100, 100, 100), 'gmm__n_components': 20}",0.49650698602794413,0.4522738630684658,0.455,0.46923461730865434,0.48997995991983967,0.4726,0.017936468470373074,13,0.5066283141570785,0.45605700712589076,0.49575,0.4768153980752406,0.4980009995002499,0.4866503437716919,0.018129748115384748
16,50.59217042922974,10.33243853436812,0.2020112991333008,0.010493965535535974,"(100, 100, 100)",25,"{'NN__hidden_layer_sizes': (100, 100, 100), 'gmm__n_components': 25}",0.531437125748503,0.4987506246876562,0.4845,0.5097548774387194,0.48997995991983967,0.5029,0.01664536954259287,5,0.5348924462231116,0.4995624453056632,0.52525,0.5283089613798275,0.5041229385307346,0.5184273582878675,0.01396993204513808
17,73.11853713989258,13.018101532795438,0.31217479705810547,0.10081506254246454,"(100, 100, 100)",30,"{'NN__hidden_layer_sizes': (100, 100, 100), 'gmm__n_components': 30}",0.5454091816367266,0.4817591204397801,0.5185,0.4842421210605303,0.4844689378757515,0.5029,0.02525126481056968,5,0.5510255127563782,0.504563070383798,0.56125,0.5139357580302463,0.5054972513743129,0.5272543185089471,0.024026746766855872
18,13.436913442611694,4.898067004908775,0.07143135070800781,0.020709806424812068,"(100, 100, 100, 100)",5,"{'NN__hidden_layer_sizes': (100, 100, 100, 100), 'gmm__n_components': 5}",0.3003992015968064,0.27436281859070466,0.268,0.26413206603301653,0.2865731462925852,0.2787,0.013259627869460472,26,0.30115057528764383,0.2730341292661583,0.26475,0.2753405824271966,0.27298850574712646,0.277452758545625,0.012384358834596801
19,27.80337038040161,9.34066492657365,0.16340227127075196,0.08593889410204338,"(100, 100, 100, 100)",10,"{'NN__hidden_layer_sizes': (100, 100, 100, 100), 'gmm__n_components': 10}",0.45858283433133734,0.42628685657171417,0.3885,0.4107053526763382,0.46142284569138275,0.4291,0.027957555034745667,21,0.46048024012006,0.4215526940867608,0.399625,0.40857392825896766,0.4643928035982009,0.4309249332127979,0.026685976175976633
20,36.20209264755249,5.663344145399348,0.13887600898742675,0.020881600160906025,"(100, 100, 100, 100)",15,"{'NN__hidden_layer_sizes': (100, 100, 100, 100), 'gmm__n_components': 15}",0.4875249500998004,0.4112943528235882,0.4425,0.4452226113056528,0.47945891783567135,0.4532,0.027581763997407003,20,0.49149574787393696,0.4111763970496312,0.46875,0.45731783527059117,0.4885057471264368,0.4634491454641192,0.029026117356279798
21,39.352225399017335,5.0185749269166084,0.19449467658996583,0.050364527301111545,"(100, 100, 100, 100)",20,"{'NN__hidden_layer_sizes': (100, 100, 100, 100), 'gmm__n_components': 20}",0.499001996007984,0.45027486256871563,0.4625,0.4527263631815908,0.49148296593186375,0.4712,0.020198751052713158,15,0.5067533766883442,0.45443180397549693,0.496125,0.4759405074365704,0.49975012493753124,0.48660016260758854,0.019069491969443946
22,50.573544597625734,8.968614670535898,0.213458251953125,0.023034439704749818,"(100, 100, 100, 100)",25,"{'NN__hidden_layer_sizes': (100, 100, 100, 100), 'gmm__n_components': 25}",0.531437125748503,0.49725137431284355,0.4715,0.5097548774387194,0.501002004008016,0.5022,0.019400980597655656,7,0.5348924462231116,0.49993749218652334,0.52075,0.5283089613798275,0.5027486256871564,0.5173275050953238,0.013825984840797325
23,68.00451588630676,18.97735586188912,0.23486099243164063,0.025864062954545828,"(100, 100, 100, 100)",30,"{'NN__hidden_layer_sizes': (100, 100, 100, 100), 'gmm__n_components': 30}",0.530938123752495,0.4847576211894053,0.5185,0.4842421210605303,0.4849699398797595,0.5007,0.020024812649756158,10,0.5481490745372687,0.5005625703212901,0.561125,0.514185726784152,0.5052473763118441,0.525853949590911,0.02425510974812412
24,12.373954105377198,2.8505753708582406,0.062122249603271486,0.0015473683666966753,"(100, 100, 100, 100, 100)",5,"{'NN__hidden_layer_sizes': (100, 100, 100, 100, 100), 'gmm__n_components': 5}",0.29790419161676646,0.27436281859070466,0.268,0.26413206603301653,0.2865731462925852,0.2782,0.012454558789045332,29,0.3009004502251126,0.2730341292661583,0.264875,0.2753405824271966,0.27298850574712646,0.2774277335331188,0.012263003299238082
25,23.913419342041017,3.655230207732637,0.10621700286865235,0.003106481324650325,"(100, 100, 100, 100, 100)",10,"{'NN__hidden_layer_sizes': (100, 100, 100, 100, 100), 'gmm__n_components': 10}",0.44560878243512975,0.41829085457271364,0.389,0.4042021010505253,0.45991983967935873,0.4234,0.026088691930428193,25,0.4517258629314657,0.41342667833479185,0.39975,0.4079490063742032,0.46264367816091956,0.4270990451602761,0.02518542816782487
26,42.16692805290222,7.808712648191451,0.14574341773986815,0.012096595527136274,"(100, 100, 100, 100, 100)",15,"{'NN__hidden_layer_sizes': (100, 100, 100, 100, 100), 'gmm__n_components': 15}",0.48303393213572854,0.4307846076961519,0.4445,0.45822911455727866,0.4834669338677355,0.46,0.020873759264445287,17,0.49187093546773386,0.4194274284285536,0.466125,0.4676915385576803,0.4878810594702649,0.46659919238484654,0.025761103464006535
27,43.489466714859006,3.746877680214407,0.2515854835510254,0.11727801156365483,"(100, 100, 100, 100, 100)",20,"{'NN__hidden_layer_sizes': (100, 100, 100, 100, 100), 'gmm__n_components': 20}",0.49650698602794413,0.44677661169415295,0.4545,0.46973486743371684,0.48997995991983967,0.4715,0.019344723503427076,14,0.5067533766883442,0.44668083510438805,0.497,0.47781527309086363,0.49962518740629686,0.48557493445797856,0.021676860727122885
28,65.6921616077423,13.696505887997313,0.3079222202301025,0.12474581450615752,"(100, 100, 100, 100, 100)",25,"{'NN__hidden_layer_sizes': (100, 100, 100, 100, 100), 'gmm__n_components': 25}",0.5219560878243513,0.49725137431284355,0.485,0.5097548774387194,0.5060120240480962,0.504,0.012383657392640525,3,0.5313906953476738,0.5000625078134767,0.5265,0.5284339457567804,0.500999500249875,0.5174773298335611,0.013927186673056435
29,62.178194522857666,12.275941995336257,0.24907727241516114,0.03301409424263256,"(100, 100, 100, 100, 100)",30,"{'NN__hidden_layer_sizes': (100, 100, 100, 100, 100), 'gmm__n_components': 30}",0.530938123752495,0.48575712143928035,0.5185,0.4792396198099049,0.4904809619238477,0.501,0.020102246672874757,9,0.5482741370685342,0.5068133516689586,0.56125,0.5114360704911886,0.506496751624188,0.526854062170574,0.02321923678899513
