,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,4.678160619735718,0.45714562470246983,0.013690042495727538,0.0003861383438803298,100,36,"{'NN__hidden_layer_sizes': 100, 'filter__n': 36}",0.8946580129805292,0.9036445332001997,0.9125874125874126,0.9138708062093139,0.9037593984962407,0.9057,0.006989162835364442,22,0.9396023508815806,0.9606102288358135,0.9464866216554139,0.9558915406722479,0.9402873204247345,0.948575612493958,0.008389682803515175
1,4.282119989395142,0.49712221101981996,0.01688518524169922,0.0008147647411651421,100,76,"{'NN__hidden_layer_sizes': 100, 'filter__n': 76}",0.9375936095856215,0.926110833749376,0.9375624375624375,0.9308963445167752,0.9393483709273183,0.9343,0.00501340489153311,3,0.9872452169563586,0.9744904339127173,0.986496624156039,0.9666375109334,0.9885071830106184,0.9806753937938266,0.008645254254064845
2,6.017077827453614,2.2088877911490385,0.020199012756347657,0.003213575485042477,100,116,"{'NN__hidden_layer_sizes': 100, 'filter__n': 116}",0.928607089365951,0.9331003494757864,0.9375624375624375,0.9359038557836755,0.9453634085213033,0.9361,0.005531994454773205,1,0.9842440915343253,0.9892459672377142,0.994498624656164,0.980882169186555,0.9933791380387258,0.988449998130697,0.0052245106014252975
3,5.28912205696106,0.5759053335194074,0.02204866409301758,0.004758181047823887,100,156,"{'NN__hidden_layer_sizes': 100, 'filter__n': 156}",0.9256115826260609,0.9291063404892661,0.9385614385614386,0.9334001001502253,0.9323308270676691,0.9318,0.004340989772723352,10,0.981743153682631,0.987995498311867,0.9911227806951738,0.9853804823191303,0.9850093691442848,0.9862502568306173,0.0031431718176408697
4,6.5316344738006595,1.8561133324488925,0.023956871032714842,0.0018874605822943053,100,196,"{'NN__hidden_layer_sizes': 100, 'filter__n': 196}",0.9306040938592112,0.9296055916125812,0.9375624375624375,0.942914371557336,0.9293233082706767,0.934,0.005380641385460416,5,0.9864949356008503,0.9913717644116544,0.994748687171793,0.9928776708734225,0.985633978763273,0.9902254073641986,0.003572291494123626
5,6.029754543304444,1.119880156108339,0.017907428741455077,0.001278347644264303,"(100, 100)",36,"{'NN__hidden_layer_sizes': (100, 100), 'filter__n': 36}",0.8966550174737893,0.9031452820768847,0.903096903096903,0.9058587881822734,0.8992481203007519,0.9016,0.003248124081562399,24,0.9758659497311492,0.9653620107540327,0.9488622155538885,0.9671373235036861,0.9365396627108058,0.9587534324507125,0.014128615797806233
6,6.177806663513183,1.778259236682461,0.022340154647827147,0.0019396982851211067,"(100, 100)",76,"{'NN__hidden_layer_sizes': (100, 100), 'filter__n': 76}",0.927608587119321,0.9266100848726909,0.9400599400599401,0.9384076114171257,0.9363408521303258,0.9338,0.005604062449350801,6,0.9938727022633488,0.9822433412529699,0.991997999499875,0.9926277645882794,0.988632104934416,0.9898747825077778,0.004191741076927315
7,5.295356750488281,0.37278842293119535,0.026002264022827147,0.004028956086410728,"(100, 100)",116,"{'NN__hidden_layer_sizes': (100, 100), 'filter__n': 116}",0.9196205691462805,0.926110833749376,0.9355644355644356,0.9308963445167752,0.9423558897243107,0.9309,0.007785563069671246,13,0.9903713892709766,0.987120170063774,0.991997999499875,0.9823816068974135,0.9921299188007495,0.9888002169065576,0.003682456317743771
8,6.203712224960327,0.5537366904037997,0.024888229370117188,0.002535458477476768,"(100, 100)",156,"{'NN__hidden_layer_sizes': (100, 100), 'filter__n': 156}",0.9256115826260609,0.9350973539690465,0.9395604395604396,0.9364046069103655,0.9348370927318296,0.9343,0.004661521781279503,3,0.9934975615855945,0.9941227960485182,0.9946236559139785,0.9928776708734225,0.993004372267333,0.9936252113377695,0.0006640834996563278
9,6.063749599456787,0.6892323159976269,0.025052547454833984,0.0014691834239136295,"(100, 100)",196,"{'NN__hidden_layer_sizes': (100, 100), 'filter__n': 196}",0.9301048427358961,0.9201198202695956,0.936063936063936,0.9394091136705057,0.9323308270676691,0.9316,0.006566601475564724,11,0.9947480305114418,0.9739902463423784,0.9952488122030507,0.993002624015994,0.9917551530293567,0.9897489732204443,0.007977308773964036
10,6.476968145370483,0.8679535304680966,0.019795656204223633,0.00021741332577908075,"(100, 100, 100)",36,"{'NN__hidden_layer_sizes': (100, 100, 100), 'filter__n': 36}",0.8986520219670494,0.9116325511732402,0.913086913086913,0.9083625438157236,0.9112781954887218,0.9086,0.005209308842076932,21,0.9637364011504315,0.9923721395523322,0.9861215303825956,0.9562664000999626,0.9826358525921299,0.9762264647554904,0.013813625597661344
11,7.077803373336792,1.370719101232207,0.024353837966918944,0.00032002515125203573,"(100, 100, 100)",76,"{'NN__hidden_layer_sizes': (100, 100, 100), 'filter__n': 76}",0.927608587119321,0.9311033449825262,0.9365634365634365,0.9323985978968453,0.9413533834586466,0.9338,0.004736879097228734,6,0.9913717644116544,0.9873702638489433,0.9936234058514629,0.9891290765962764,0.9937539038101186,0.9910496829036912,0.002500697910141934
12,6.7150623321533205,1.1008496201093048,0.02657928466796875,0.002157884860686907,"(100, 100, 100)",116,"{'NN__hidden_layer_sizes': (100, 100, 100), 'filter__n': 116}",0.9291063404892661,0.9236145781328008,0.9255744255744256,0.9374061091637457,0.9438596491228071,0.9319,0.00761009486401908,9,0.9912467175190697,0.9944979367262724,0.9942485621405351,0.993252530301137,0.9941286695815116,0.9934748832537051,0.0011905307527825086
13,7.005712366104126,1.1325510807270145,0.029132986068725587,0.004227856751519137,"(100, 100, 100)",156,"{'NN__hidden_layer_sizes': (100, 100, 100), 'filter__n': 156}",0.9301048427358961,0.9281078382426361,0.9345654345654346,0.9323985978968453,0.9358395989974937,0.9322,0.002829169387111875,8,0.992872327122671,0.9909966237339002,0.9942485621405351,0.9943771085842809,0.9877576514678326,0.9920504546098439,0.002468164832086395
14,7.323301982879639,0.6929017890909223,0.030103778839111327,0.0008612364285478972,"(100, 100, 100)",196,"{'NN__hidden_layer_sizes': (100, 100, 100), 'filter__n': 196}",0.9241138292561158,0.9355966050923614,0.9335664335664335,0.9303955933900852,0.9338345864661655,0.9315,0.004058907945056571,12,0.993747655370764,0.9932474678004252,0.991747936984246,0.9915031863051356,0.9925046845721424,0.9925501862065426,0.0008558057054476223
15,7.545172595977784,1.0591592318687097,0.02693634033203125,0.00546921247357257,"(100, 100, 100, 100)",36,"{'NN__hidden_layer_sizes': (100, 100, 100, 100), 'filter__n': 36}",0.8961557663504743,0.9041437843235147,0.9045954045954046,0.9023535302954432,0.9052631578947369,0.9025,0.0033180789856114183,23,0.9727397774165312,0.9902463423783919,0.9584896224056014,0.9761339497688367,0.9737663960024985,0.974275217594372,0.010102803606711824
16,7.429641342163086,0.9623631834950446,0.03245820999145508,0.0055108952674064295,"(100, 100, 100, 100)",76,"{'NN__hidden_layer_sizes': (100, 100, 100, 100), 'filter__n': 76}",0.928607089365951,0.9326010983524713,0.938061938061938,0.9339008512769154,0.9393483709273183,0.9345,0.003870301960399333,2,0.9823683881455546,0.9922470926597474,0.9938734683670918,0.9950018742971386,0.9938788257339163,0.9914739298406896,0.004636730999127542
17,7.622465801239014,0.7519766924047017,0.03575582504272461,0.007722654819671643,"(100, 100, 100, 100)",116,"{'NN__hidden_layer_sizes': (100, 100, 100, 100), 'filter__n': 116}",0.9196205691462805,0.9335996005991013,0.9215784215784216,0.9354031046569855,0.9363408521303258,0.9293,0.007192639144664872,16,0.9918719519819933,0.9909966237339002,0.9899974993748437,0.9923778583031363,0.9936289818863211,0.9917745830560388,0.001230891048803806
18,7.9892127990722654,1.8042949060832218,0.038573408126831056,0.007359128580075867,"(100, 100, 100, 100)",156,"{'NN__hidden_layer_sizes': (100, 100, 100, 100), 'filter__n': 156}",0.9246130803794309,0.9291063404892661,0.9270729270729271,0.9178768152228343,0.9338345864661655,0.9265,0.005265112064373852,18,0.9941227960485182,0.9913717644116544,0.9929982495623906,0.9653879795076846,0.9943785134291068,0.9876518605918708,0.011182332712454142
19,7.419978666305542,0.9343417103998843,0.03583211898803711,0.0030523124518637254,"(100, 100, 100, 100)",196,"{'NN__hidden_layer_sizes': (100, 100, 100, 100), 'filter__n': 196}",0.9221168247628557,0.9266100848726909,0.9285714285714286,0.927891837756635,0.9258145363408521,0.9262,0.0022583746277600346,19,0.9877454045266975,0.9859947480305115,0.9934983745936484,0.993252530301137,0.9791380387257964,0.9879258192355582,0.005299318743933472
20,7.374038028717041,1.0505219659177243,0.027661705017089845,0.0003543958403189046,"(100, 100, 100, 100, 100)",36,"{'NN__hidden_layer_sizes': (100, 100, 100, 100, 100), 'filter__n': 36}",0.890164752870694,0.8966550174737893,0.9080919080919081,0.9053580370555834,0.906265664160401,0.9013,0.006826466589397524,25,0.9613605101913217,0.9673627610353883,0.9922480620155039,0.968511808071973,0.9685196752029981,0.971600563303437,0.010659916878045017
21,8.693807029724121,1.6440847328918733,0.03189525604248047,0.000894156611983848,"(100, 100, 100, 100, 100)",76,"{'NN__hidden_layer_sizes': (100, 100, 100, 100, 100), 'filter__n': 76}",0.9311033449825262,0.9241138292561158,0.9270729270729271,0.9344016024036054,0.9353383458646617,0.9304,0.004277060455742496,14,0.9951231711891959,0.9858697011379267,0.9938734683670918,0.9918780457328502,0.9942535915053092,0.9921995955864749,0.0033388321809648034
22,8.36131501197815,1.088333631043648,0.03304276466369629,0.0003094188420048572,"(100, 100, 100, 100, 100)",116,"{'NN__hidden_layer_sizes': (100, 100, 100, 100, 100), 'filter__n': 116}",0.9251123315027459,0.9256115826260609,0.9340659340659341,0.9349023535302955,0.9323308270676691,0.9304,0.004204206863702129,14,0.9933725146930099,0.9934975615855945,0.9948737184296074,0.9916281394477071,0.9937539038101186,0.9934251675932074,0.0010434261257700338
23,8.677509832382203,1.490999393653579,0.035288763046264646,0.0006496345408316673,"(100, 100, 100, 100, 100)",156,"{'NN__hidden_layer_sizes': (100, 100, 100, 100, 100), 'filter__n': 156}",0.9201198202695956,0.9291063404892661,0.9410589410589411,0.9188783174762143,0.9338345864661655,0.9286,0.00835895039914294,17,0.992872327122671,0.9917469050894085,0.9937484371092773,0.9791328251905536,0.9936289818863211,0.9902258952796463,0.0055921833971485915
24,8.602302265167236,0.9425817546276045,0.03698177337646484,0.001504833240587216,"(100, 100, 100, 100, 100)",196,"{'NN__hidden_layer_sizes': (100, 100, 100, 100, 100), 'filter__n': 196}",0.9256115826260609,0.9176235646530204,0.9170829170829171,0.927391086629945,0.9393483709273183,0.9254,0.00809790924656966,20,0.9942478429411029,0.9922470926597474,0.9923730932733184,0.9920029988754218,0.9938788257339163,0.9929499706967013,0.0009242104489439944
